property_type,state,lat,lon,area_m2,price_mxn
HOUSE,Estado de México,19.696592,-99.231445,87.0,152000.5
APARTMENT,Distrito Federal,19.38250406,-99.15803991,78.0,137017.34
APARTMENT,Distrito Federal,19.401819,-99.184615,75.0,78502.86
HOUSE,Puebla,18.998509,-98.179484,200.0,102738.64
APARTMENT,,22.1418,-101.027344,114.0,88270.78
HOUSE,Yucatán,21.072905,-89.65963,,111721.83
,Nuevo León,25.6318511,-100.170963,204.0,51644.99
HOUSE,Estado de México,19.283869,-99.588992,70.0,57006.77
HOUSE,Jalisco,20.532827,-103.483829,155.0,110641.61
HOUSE,Morelos,18.918608,-98.941094,,142287.24
APARTMENT,Jalisco,,-103.448288,88.0,82875.83
HOUSE,Yucatán,21.030668,-89.599258,175.0,120944.15
HOUSE,Zacatecas,23.634501,-102.552788,170.0,89567.02
APARTMENT,Distrito Federal,19.380937,-99.179545,98.0,197100.13
APARTMENT,Estado de México,19.559799,-99.233795,60.0,
HOUSE,Yucatán,21.072905,-89.65963,,47417.83
HOUSE,Distrito Federal,19.367215,-99.222138,180.0,116173.69
HOUSE,Puebla,19.044477,-98.328011,2024-12-01,326733.66
HOUSE,Veracruz de Ignacio de la Llave,18.134026,-94.476112,210.0,247626.47
HOUSE,Veracruz de Ignacio de la Llave,25.572505,-103.425036,330.0,121178.91
HOUSE,Estado de México,,-99.694921,157.0,105372.96
HOUSE,Jalisco,20.788616,-103.435217,156.0,123813.23
APARTMENT,Nuevo León,25.6526883,-100.4122654,101.0,160866.42
HOUSE,Nuevo León,25.680067,-100.458626,336.0,142253.5
HOUSE,Estado de México,19.305643,-98.901535,120.0,42159.18
,Estado de México###,19.684991,-99.225298,60.0,
HOUSE,Yucatán,21.008295,-89.591019,282.0,123052.11
APARTMENT,Guerrero,16.8572859,-99.9089643,130.0,104870.96
HOUSE,San Luis Potosí,,-100.895958,2024-12-01,46840.27
HOUSE,Puebla,23.634501,-102.552788,156.0,
HOUSE,San Luis Potosí,22.1387477,-101.0181525,200.0,97469.99
HOUSE,Estado de México,19.428043,-99.227384,309.0,306529.96
HOUSE,Hidalgo,20.059217,-98.790423,200.0,136984.85
HOUSE,Yucatán,21.292982,-89.603973,100.0,139652.29
HOUSE,Morelos,,-99.056687,145.0,89567.02
HOUSE,Distrito Federal,19.411699,-99.166247,120.0,230874.8
HOUSE,Morelos,18.89179165,-99.22272205,183.0,147557.13
HOUSE,Yucatán,21.0424858,-89.5568382,107.0,50579.02
APARTMENT,Querétaro,20.711874,,140.0,102211.77
APARTMENT,Distrito Federal,19.428152,-99.106194,67.0,79029.72
HOUSE,Estado de México,19.234822,-99.559659,115.0,105372.96
HOUSE,Estado de México,19.558449,-99.22973,2024-12-01,
HOUSE,Chihuahua,28.652079,-106.109581,227.0,110641.61
HOUSE,Nuevo León,25.707024,-100.21376,250.0,110667.85
HOUSE,Aguascalientes###,21.878481,-102.332787,215.0,-136490.35
HOUSE,Veracruz de Ignacio de la Llave,19.155567,-96.13928,165.0,60589.45
HOUSE,Hidalgo,20.05687984,-98.76537555,200.0,68508.67
HOUSE,Nuevo León###,25.634661,-100.295769,242.0,76413.51
APARTMENT,Distrito Federal,19.367931,-99.170262,,120652.04
HOUSE,Distrito Federal,19.360526,-99.301674,220.0,87703.06
HOUSE,Distrito Federal,19.464398,-99.113317,304.0,
,Puebla,19.01195,-98.219383,385.0,237089.17
APARTMENT,Yucatán,21.2929822,-89.6039725,255.0,236144.12
HOUSE,,19.351396,-99.130999,225.0,237089.17
HOUSE,,18.93409,-99.254997,218.0,143530.93
HOUSE,Querétaro,20.6990975,-100.4705682,276.0,131747.44
HOUSE,Yucatán,21.030668,,100.0,79029.72
,Yucatán,20.996355,-89.583946,201.0,92223.21
HOUSE,Puebla,18.983141,-98.265739,135.0,42149.18
HOUSE,Estado de México###,19.2826098,-99.6556653,90.0,-56387.9
HOUSE,Tamaulipas,22.4107891,-97.9342897,176.0,60603.82
HOUSE,Tabasco,18.263374,-93.179222,104.0,39514.86
HOUSE,,19.396669,-99.067626,220.0,110050.31
HOUSE,,21.039522,-89.563911,174.0,65858.1
HOUSE,Estado de México,,-99.21289,233.0,???
,Puebla,19.054064,-98.245911,,84318.36
HOUSE,Estado de México,19.62378,-99.199085,153.0,
HOUSE,Sinaloa,23.240411,-106.432565,189.0,63118.4
APARTMENT,Distrito Federal,19.452331,-99.177162,90.0,73234.21
HOUSE,Quintana Roo,21.129547,-86.817017,275.0,173865.39
APARTMENT,,19.342083,-99.0532159,86.0,90115.25
HOUSE,Nuevo León,25.702822,-100.304192,148.0,94594.66
HOUSE,Veracruz de Ignacio de la Llave,19.563358,,110.0,39524.23
HOUSE,Veracruz de Ignacio de la Llave,19.205341,-96.197784,130.0,84298.37
HOUSE,Yucatán,21.0424858,-89.5568382,185.0,76677.01
APARTMENT,Guerrero,16.829584,-99.9083,154.0,114487.72
,Querétaro,20.726007,-100.442642,273.0,181811.47
HOUSE,San Luis Potosí,23.634501,-102.552788,187.0,94308.8
HOUSE,Distrito Federal###,,-99.204927,110.0,
APARTMENT,Distrito Federal,19.400004,-99.16735,94.0,217911.29
HOUSE,Tabasco,17.979631,-92.965249,100.0,65858.1
HOUSE,Querétaro,20.5887932,-100.3898881,84.0,49537.03
HOUSE,Yucatán###,21.006756,-89.570984,162.0,76413.51
HOUSE,Yucatán,21.013465,-89.591041,239.0,283558.65
HOUSE,Chiapas,19.671066,-101.213341,175.0,92201.34
